state,median_ppsf
Hawaii,622.78
California,446.52
Washington,312.5
Massachusetts,305.59
Oregon,293.19
Nevada,267.92
Colorado,263.18
New Jersey,255.57
Idaho,248.44
Rhode Island,247.03
Arizona,245.68
New Hampshire,232.26
New York,229.25
Utah,226.96
Florida,225.15
Montana,222.81
Connecticut,216.62
Maryland,215.85
Virginia,205.9
Alaska,202.65
Maine,196.51
Vermont,192.7
Tennessee,184.96
Wyoming,182.14
Delaware,182.14
North Carolina,181.27
South Carolina,175.8
South Dakota,174.62
New Mexico,171.05
Texas,170.13
Minnesota,163.51
Illinois,161.42
Georgia,161.13
Pennsylvania,157.13
Wisconsin,151.22
Iowa,148.88
Missouri,142.05
Alabama,140.73
Michigan,139.89
Nebraska,139.78
Arkansas,139.4
Kentucky,137.09
Louisiana,136.94
Indiana,134.56
North Dakota,132.05
Oklahoma,129.63
Mississippi,123.36
West Virginia,115.55
Kansas,114.4
Ohio,113.58
